abandoned1_paul_abandoned, PASS
abandoned1_tomo_abandoned, PASS
abhorrent1_tomo_abhorrent, PASS
absorb1_paul_absorb, FAIL
allowed1_philip_allowed, PASS
amputate1_paul_amputate, PASS
angriest1_paul_angriest, PASS
animal1_colin_animal, PASS
animal1_deven_animal, FAIL
animal1_hossein_animal, PASS
animal1_khurrum_animal, PASS
animal1_matthew_animal, PASS
animal1_paul_animal, PASS
animal1_saman_animal, FAIL
animal1_us_female_animal, PASS
animal2_colin_animal, FAIL
animal2_khurrum_animal, PASS
animal2_matthew_animal, PASS
animal2_paul_animal, FAIL
animal2_tressa_animal, PASS
animal3_colin_animal, PASS
animal3_tressa_animal, PASS
animal4_colin_animal, PASS
animal5_colin_animal, PASS
animal6_colin_animal, PASS
apostrophes1_andrei_apostrophes, PASS
arrest1_paul_arrest, PASS
arrest1_paul_copy_arrests, FAIL
arrests1_paul_copy_arrest, PASS
arrests1_paul_arrests, PASS
asked1_tomo_asked, FAIL
avid1_tressa_avid, PASS
barrel1_paul_barrel, PASS
barrel1_philip_barrel, PASS
bars1_paul_bars, PASS
because1_80_because, PASS
because1_colin_because, PASS
because1_paul_because, PASS
because1_unknown-4t-5_because, PASS
because1_unknown-6t-2_because, FAIL
because2_paul_because, PASS
because3_paul_because, PASS
because4_paul_because, FAIL
billing1_tressa_billing, PASS
billing2_tressa_billing, PASS
birch1_paul_birch, PASS
bla1_paul_black, PASS
black1_paul_black, PASS
black1_uk_female_black, PASS
black1_us_female_black, PASS
black1_us_male_black, PASS
blag1_k_paul_black, FAIL
blah1_k_paul_black, PASS
blah1_paul_blah, PASS
blair1_k_paul_black, FAIL
blair1_paul_blair, PASS
blake1_k_paul_black, PASS
blake1_paul_blake, PASS
bland1_k_paul_black, PASS
bland1_paul_bland, PASS
blast1_k_paul_black, PASS
blast1_paul_blast, PASS
blat1_paul_black, PASS
blaze1_k_paul_black, PASS
blaze1_paul_blaze, PASS
blocks1_tressa_blocks, FAIL
blocks2_tressa_blocks, PASS
boos1_tomo_boos, PASS
carer1_paul_carer, PASS
carer2_paul_carer, PASS
casualty1_paul_casualty, PASS
cat1_paul_cat, PASS
cathodes1_80_cathodes, PASS
caught1_80_caught, PASS
caught1_colin_caught, PASS
caught1_paul_caught, PASS
caught1_t_paul_coat, PASS
caught2_paul_caught, PASS
caught2_t_paul_coat, PASS
chair1_rishka_chair, FAIL
church1_paul_church, PASS
clay1_aw_philip_claw, PASS
clay1_cl_philip_clue, PASS
clay1_h_philip_hay, FAIL
clay1_l_philip_lay, PASS
clay1_m_philip_may, PASS
clay1_philip_clay, PASS
clay1_spr_philip_spray, FAIL
clay1_tr_philip_tray, FAIL
climates1_paul_climates, PASS
climb1_colin_climb, PASS
climbed1_colin_climbed, PASS
climbed1_paul_climbed, PASS
climbed2_paul_climbed, PASS
cot1_80_coat, FAIL
coat1_paul_coat, PASS
coat1_t_paul_caught, PASS
coat2_paul_coat, PASS
coat2_t_paul_caught, PASS
commonality1_paul_commonality, FAIL
connectivity1_tomo_connectivity, PASS
contraceptive1_unknown_male_contraceptive, FAIL
contraceptives1_tomo_contraceptives, FAIL
conversation1_ashwin_conversation, FAIL
conversation1_canada_male_conversation, PASS
conversation1_colin_conversation, FAIL
conversation1_giles_conversation, PASS
conversation1_paul_conversation, PASS
conversation1_tressa_conversation, PASS
conversation1_uk_male_conversation, PASS
conversation1_us_female_conversation, PASS
conversation2_colin_conversation, FAIL
conversation2_paul_conversation, PASS
conversation2_uk_male_conversation, PASS
conversation2_us_female_conversation, FAIL
conversation2_us_male_conversation, FAIL
conversation3_paul_conversation, PASS
conversation3_tressa_conversation, PASS
conversation3_uk_male_conversation, FAIL
conversation3_us_female_conversation, PASS
conversation3_us_male_conversation, FAIL
coon1_paul_coon, PASS
cot1_paul_cot, PASS
counterattacked1_philip_counterattacked, FAIL
creature1_colin_creature, PASS
creature1_khurrum_creature, PASS
crumble1_paul_crumble, PASS
cubes1_paul_cubes, PASS
curiosity1_80_curiosity, PASS
cut1_ah_paul_cot, FAIL
cut1_paul_cut, PASS
dandelion1_rishka_dandelion, PASS
deadpan1_b_colin_bedpan, FAIL
deadpan1_colin_deadpan, PASS
dearly1_paul_dearly, PASS
diner1_paul_diner, PASS
directly1_paul_directly, PASS
docket1_deven_docket, PASS
don't1_colin_don't, PASS
dyke1_paul_dyke, PASS
earn1_tressa_earn, FAIL
earn2_tressa_earn, PASS
ebb1_b_colin_egg, FAIL
ebb1_colin_ebb, PASS
either1_80_either, PASS
emperors1_paul_emperors, PASS
entree1_paul_entree, PASS
es_school1_hossein_school, FAIL
es_school1_paul_school, PASS
es_school2_hossein_school, PASS
es_school3_hossein_school, PASS
esq1_80_esquire, PASS
fever1_tressa_fever, PASS
frolic1_paul_frolic, PASS
fuses1_philip_fuses, PASS
garden1_philip_garden, PASS
grass1_paul_grass, PASS
grass1_rishka_grass, PASS
greatest1_ashwin_greatest, PASS
greatest1_khurrum_greatest, PASS
greatest1_tressa_greatest, FAIL
hardly1_hossein_hardly, FAIL
hardly1_paul_hardly, PASS
hardly1_paulo_hardly, FAIL
hardly1_tomo_hardly, PASS
hardly2_paul_hardly, PASS
hardly3_paul_hardly, PASS
heard1_hossein_heard, PASS
hearthrug1_80_hearthrug, FAIL
heave1_tressa_heave, PASS
hello1_rishka_hello, FAIL
her1_ashwin_her, FAIL
holly1_paul_holly, PASS
hoped1_philip_hoped, FAIL
i1_ashwin_i, PASS
i1_b_paul_by, PASS
i1_khurrum_i, FAIL
i1_paul_i, PASS
i1_paulo_i, PASS
i1_tomo_i, FAIL
i1_tressa_i, PASS
i2_khurrum_i, FAIL
immersion1_paul_immersion, PASS
inked1_tomo_inked, FAIL
inoculates1_paul_inoculates, PASS
irreparable1_andrei_irreparable, PASS
january1_philip_january, FAIL
joyriding1_philip_joyriding, PASS
jump1_colin_jump, PASS
kit1_paul_kit, PASS
laos1_paul_laos, PASS
last1_hossein_last, FAIL
last1_l_paul_past, PASS
last1_paul_last, PASS
last1_paulo_last, FAIL
leave1_hossein_leave, PASS
leave1_ng_hossein_leaving, PASS
list1_hossein_list, PASS
live1_hossein_live, PASS
lonely1_philip_lonely, PASS
luxurious1_paul_luxurious, PASS
manufacturer1_paul_manufacturer, PASS
meaning1_tressa_meaning, PASS
meaning2_tressa_meaning, PASS
meaning3_tressa_meaning, FAIL
misspelled1_paul_misspelled, PASS
moon1_paul_moon, PASS
my1_aa_hossein_may, FAIL
my1_hossein_my, PASS
names1_tressa_names, PASS
northerner1_paul_northerner, PASS
now1_philip_now, PASS
oat1_paul_oat, PASS
opportunity1_paul_opportunity, FAIL
other1_paul_other, PASS
other2_paul_other, PASS
otter1_d_paul_other, PASS
otter1_paul_otter, PASS
otter1_w_paul_walter, PASS
over1_hossein_over, PASS
own1_80_own, PASS
palaeontology1_tressa_palaeontology, FAIL
past1_paul_copy_last, PASS
past1_paul_past, PASS
pathos1_80_pathos, PASS
perfect1_colin_perfect, PASS
pests1_paul_pests, PASS
pianists1_colin_pianists, FAIL
pie1_tressa_pie, PASS
pie2_tressa_pie, PASS
pocket1_80_pocket, PASS
ponce1_paul_ponce, PASS
potato1_colin_potato, PASS
potato1_io_colin_patio, FAIL
property1_tressa_property, PASS
property2_tressa_property, PASS
providence1_paul_providence, PASS
provisionally1_deven_provisionally, FAIL
railings1_tressa_railings, PASS
railings2_tressa_railings, FAIL
raised1_tomo_raised, FAIL
raised1_unknown_us_female_raised, PASS
raplied1_paul_replied, PASS
reblied1_paul_replied, FAIL
relations1_colin_relations, PASS
relied1_paul_replied, PASS
replied1_colin_replied, FAIL
replied1_paul_replied, PASS
replied1_tomo_replied, PASS
replied1_us_female_replied, PASS
replied2_paul_replied, PASS
replied3_paul_replied, PASS
reside1_colin_reside, PASS
retried1_paul_replied, FAIL
russia1_khurrum_russia, PASS
russia1_paul_russia, PASS
russia1_tressa_russia, PASS
russia2_tressa_russia, PASS
sat1_e_paul_set, PASS
sat1_i_paul_sit, PASS
sat1_paul_sat, PASS
school1_colin_school, PASS
school1_paul_school, PASS
seat1_hossein_seat, FAIL
seat1_i_paul_sit, PASS
seat1_i_tressa_sit, PASS
seat1_paul_seat, PASS
seat1_tressa_seat, PASS
seat2_i_paul_sit, FAIL
seat2_paul_seat, PASS
set1_a_paul_sat, PASS
set1_g_paul_get, PASS
set1_i_paul_sit, PASS
set1_paul_set, PASS
she1_80_she, PASS
sir1_philip_sir, PASS
sit1_ea_paul_seat, PASS
sit1_ea_tressa_seat, PASS
sit1_paul_sit, PASS
sit1_tressa_sit, PASS
sit1_unknown_female_sit, PASS
sit2_f_unknown_us_female_fit, PASS
sit2_ick_unknown_us_female_sick, PASS
sit2_ip_unknown_us_female_sip, FAIL
sit2_k_unknown_us_female_kit, PASS
sit2_p_unknown_us_female_pit, PASS
sit2_pip_unknown_us_female_pip, FAIL
sit2_unknown_us_female_sit, PASS
sit3_tressa_sit, PASS
snarl1_paul_snarl, PASS
soot1_philip_soot, PASS
spit1_a_paul_sat, PASS
spit1_i_paul_sit, FAIL
spit1_paul_spit, PASS
squiggle1_paul_squiggle, FAIL
squirrel1_g_paul_squiggle, PASS
squiggle1_r_paul_squirrel, PASS
squirrel1_ashwin_squirrel, FAIL
squirrel1_colin_squirrel, PASS
squirrel1_hossein_squirrel, FAIL
squirrel1_paul_squirrel, FAIL
squirrel1_tressa_squirrel, PASS
squirrel2_paul_squirrel, PASS
squirrel3_paul_squirrel, PASS
squirrel4_paul_squirrel, PASS
state1_tressa_state, FAIL
state2_tressa_state, PASS
sthe1_paul_the, PASS
swahili1_hossein_swahili, FAIL
swathe1_philip_swathe, FAIL
tail1_hossein_tail, PASS
the1_ashwin_the, PASS
the1_colin_the, PASS
the1_paulo_the, PASS
the1_tomo_the, PASS
theatres1_80_theatres, PASS
their1_96_their, PASS
theirs1_paul_theirs, PASS
there1_philip_there, PASS
they1_96_they, PASS
they1_andrei_they, PASS
thought1_tressa_thought, PASS
thought2_tressa_thought, PASS
time1_k_paul_climb, FAIL
time1_paul_time, PASS
time1_us_colin_time, FAIL
toothed1_paul_toothed, PASS
treasuries1_paul_treasuries, PASS
umbrella1_svetlana_umbrella, PASS
unanimity1_paul_unanimity, FAIL
under1_th_tressa_thunder, PASS
under1_tressa_under, PASS
under2_tressa_under, PASS
under3_tressa_under, PASS
usually1_paul_usually, PASS
usurp1_paul_usurp, PASS
valter1_paul_walter, PASS
vater1_paul_water, PASS
vest1_paul_vest, PASS
vest1_s_paul_vests, FAIL
vests1_tomo_vests, FAIL
vowels1_tressa_vowels, PASS
vows1_paul_vows, PASS
voyeuristic1_paul_voyeuristic, PASS
voyeuristic1_philip_voyeuristic, PASS
vud1_hossein_would, FAIL
waistcoat1_80_waistcoat, FAIL
walter1_l_paul_walter, PASS
walter1_paul_water, FAIL
wanderer1_paul_wanderer, PASS
was1_philip_was, PASS
water1_hossein_water, PASS
water1_l_paul_walter, PASS
water1_paul_water, PASS
water2_hossein_water, PASS
weplied1_paul_replied, PASS
with1_philip_with, FAIL
world1_tomo_world, FAIL
writhe1_80_writhe, PASS
year1_khurrum_year, FAIL
yet1_b_paul_bet, PASS
yet1_ba_paul_bat, PASS
yet1_g_paul_get, PASS
yet1_n_paul_net, PASS
yet1_paul_yet, PASS
yet1_s_paul_set, PASS
young1_unknown_young, PASS
yukon1_tressa_yukon, FAIL
zeat1_paul_sit, PASS
zeat1_s_paul_seat, PASS
zit1_paul_zit, FAIL
zit1_s_paul_sit, PASS
animal1_maha_animal, PASS
animal1_amir_animal, PASS
animal1_jez_animal, PASS
Pass rate = 77%
